name,comm_code,census_year,population,occupied dwellings,persons per unit,notes
GLENBROOK,GBK,2000,7043,2969,2.37,
MIDNAPORE,MID,2000,7166,2464,2.91,
ARBOUR LAKE,ARB,2011,10762,3790,2.84,
FOREST LAWN,FLN,2008,7812,3078,2.54,
FOREST LAWN,FLN,1990,8438,2974,2.84,
WESTGATE,WGT,1996,3366,1317,2.56,
AUBURN BAY,AUB,1968,0,0,0,
CHARLESWOOD/COLLINGWOOD,,2007,5732,2359,2.43,Combined communities of CHARLESWOOD (CHW) and COLLINGWOOD (COL)
WOODBINE,WBN,1990,10827,3195,3.39,
SHAWNEE SLOPES,SHS,1982,13,4,3.25,
SHERWOOD,SHW,1985,0,0,0,
RICHMOND,RIC,1996,3953,1869,2.12,
MARLBOROUGH,MRL,2006,8465,3005,2.82,
HAWKWOOD,HAW,2009,10202,3301,3.09,
MISSION,MIS,1990,3521,2391,1.47,
BRENTWOOD,BRE,1979,7858,2372,3.31,
THORNCLIFFE,THO,1988,9602,3570,2.69,
PARKLAND,PKL,1993,4610,1342,3.44,
COVENTRY HILLS,COV,2001,6401,2196,2.91,
MACEWAN GLEN,MAC,1977,0,0,0,
SUNALTA,SNA,2003,3054,1864,1.64,
LAKE BONAVISTA,LKB,1997,11240,3504,3.21,
SANDSTONE VALLEY,SAN,1998,6960,2062,3.38,
GLENDALE,GDL,2016,2809,1093,2.57,
RUNDLE,RUN,2016,11733,3635,3.23,
PARKHILL,PKH,1974,1483,565,2.62,
RAMSAY,RAM,1981,2413,1020,2.37,
COVENTRY HILLS,COV,2002,7587,2583,2.94,
ASPEN WOODS,ASP,1982,0,0,0,
CANYON MEADOWS,CAN,1975,6107,1652,3.7,
ST. ANDREWS HEIGHTS,STA,2002,1807,704,2.57,
WALDEN,WAL,1998,0,0,0,
BELTLINE,BLN,1999,17975,10312,1.74,Combined communities of CONNAUGHT (CON) and VICTORIA PARK (VIC)
SIGNAL HILL,SIG,1982,59,12,4.92,
SHAWNEE SLOPES,SHS,2015,1597,674,2.37,
UNIVERSITY DISTRICT,UND,1999,0,0,0,
COVENTRY HILLS,COV,1976,0,0,0,
EVANSTON,EVN,1982,0,0,0,
SAGE HILL,SGH,1989,0,0,0,
DIAMOND COVE,DIA,1978,0,0,0,
BRIDGELAND/RIVERSIDE,BRD,1995,4474,2197,2.04,
RICHMOND,RIC,1974,4461,1673,2.67,
MAYLAND HEIGHTS,MAL,2006,5957,2657,2.24,
HAYSBORO,HAY,1988,6424,2797,2,
MONTGOMERY,MON,1973,4704,1345,3.5,
BRITANNIA,BRT,2004,725,271,2.68,
OGDEN,OGD,2006,8766,3628,2.42,
LAKE BONAVISTA,LKB,2016,10478,3993,2.62,
BONAVISTA DOWNS,BDO,1973,437,124,3.52,
NEW BRIGHTON,NEB,1999,0,0,0,
ROXBORO,ROX,1986,446,162,2.75,
VARSITY,VAR,1986,12974,4952,2.62,
LOWER MOUNT ROYAL,LMR,2010,3016,2011,1.5,
WALDEN,WAL,1990,0,0,0,
HAWKWOOD,HAW,1995,10468,3062,3.42,
OAKRIDGE,OAK,2008,5836,2246,2.6,
