name,comm_code,census_year,population,occupied dwellings,persons per unit,notes
CORNERSTONE,CNS,2015,0,0,0,
INGLEWOOD,ING,2012,3564,1941,1.84,
BRENTWOOD,BRE,1985,6820,2444,2.79,
GLENBROOK,GBK,2010,6755,3033,2.23,
KILLARNEY/GLENGARRY,KIL,1975,6357,2410,2.64,
ARBOUR LAKE,ARB,1975,0,0,0,
TUSCANY,TUS,1987,0,0,0,
SHAWNESSY,SHN,1973,0,0,0,
SKYVIEW RANCH,SKR,1995,0,0,0,
LOWER MOUNT ROYAL,LMR,1968,3158,1546,2.04,
EDGEMONT,EDG,1986,7480,2241,3.34,
COUGAR RIDGE,CGR,1987,0,0,0,
SCENIC ACRES,SCE,1974,0,0,0,
SKYVIEW RANCH,SKR,1982,0,0,0,
BANFF TRAIL,BNF,1985,3329,1519,2.19,
APPLEWOOD PARK,APP,1970,0,0,0,
PENBROOKE MEADOWS,PEN,2011,8188,2907,2.82,
OAKRIDGE,OAK,1978,5870,1675,3.5,
BRIDGELAND/RIVERSIDE,BRD,1980,4942,2212,2.23,
CRESTMONT,CRM,2011,1430,437,3.27,
RUNDLE,RUN,1973,0,0,0,
MCKENZIE TOWNE,MCT,2004,6936,2708,2.56,
ROCKY RIDGE,ROC,2017,8381,3038,2.76,
CRESTMONT,CRM,1999,0,0,0,
SHERWOOD,SHW,2001,0,0,0,
TUSCANY,TUS,1991,19,6,3.17,
HAMPTONS,HAM,1996,2616,769,3.4,
PENBROOKE MEADOWS,PEN,1977,8842,2347,3.77,
RUNDLE,RUN,2007,11230,3606,3.11,
BRAESIDE,BRA,1989,7135,2455,2.91,
BANKVIEW,BNK,1985,4778,2874,1.66,
UNIVERSITY HEIGHTS,UNI,1971,2754,751,3.67,
COPPERFIELD,CPF,1973,0,0,0,
WESTGATE,WGT,1987,3554,1313,2.71,
ROSEMONT,RMT,1985,1272,513,2.48,
BELTLINE,BLN,1981,13896,8382,1.66,Combined communities of CONNAUGHT (CON) and VICTORIA PARK (VIC)
SPRUCE CLIFF,SPR,2014,4488,2209,2.03,
COVENTRY HILLS,COV,2009,15688,5190,3.02,
PARKHILL,PKH,1977,1417,590,2.4,
NORTH HAVEN,NHV,1999,2508,941,2.67,
COPPERFIELD,CPF,2009,5609,2046,2.74,
MIDNAPORE,MID,2009,7114,2662,2.67,
KILLARNEY/GLENGARRY,KIL,2000,6484,3179,2.04,
CHINOOK PARK,CHK,1998,1753,576,3.04,
BRAESIDE,BRA,1971,1794,435,4.12,
RICHMOND,RIC,1969,5013,1687,2.97,
ROXBORO,ROX,1978,455,165,2.76,
MAHOGANY,MAH,1970,0,0,0,
DOWNTOWN COMMERCIAL CORE,DNC,1985,5662,4166,1.36,
COPPERFIELD,CPF,1981,0,0,0,
SPRINGBANK HILL,SPH,2017,9985,3278,3.05,
NORTH HAVEN,NHV,1973,3038,763,3.98,
MANCHESTER,MAN,1994,256,157,1.63,
DALHOUSIE,DAL,1989,9638,3424,2.81,
COVENTRY HILLS,COV,1989,0,0,0,
AUBURN BAY,AUB,1994,0,0,0,
CRESTMONT,CRM,1992,0,0,0,
HIGHLAND PARK,HPK,2014,3965,1942,2.04,
WESTGATE,WGT,1999,3422,1337,2.56,
CASTLERIDGE,CAS,2005,6095,1805,3.38,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,1978,2914,884,3.3,
CLIFF BUNGALOW,CLI,1982,2219,1193,1.86,
WOODLANDS,WOO,1982,4521,1392,3.25,
PALLISER,PAL,1970,1749,506,3.46,
CANYON MEADOWS,CAN,1980,8159,2444,3.34,
LEGACY,LEG,2003,0,0,0,
UNIVERSITY DISTRICT,UND,1995,0,0,0,
EDGEMONT,EDG,1995,14377,4320,3.33,
FALCONRIDGE,FAL,1994,10294,3068,3.36,
HIDDEN VALLEY,HID,1978,0,0,0,
WILDWOOD,WLD,1989,2714,1043,2.6,
SCENIC ACRES,SCE,1975,0,0,0,
ROSSCARROCK,RCK,1995,3221,1394,2.31,
HAYSBORO,HAY,2002,6275,2835,2,
HAWKWOOD,HAW,1981,168,51,3.29,
COUGAR RIDGE,CGR,2014,6702,2086,3.21,
HARVEST HILLS,HAR,1999,6529,2291,2.85,
PALLISER,PAL,1982,3222,1302,2.47,
SUNDANCE,SDC,1976,0,0,0,
CRESTMONT,CRM,1986,0,0,0,
SPRINGBANK HILL,SPH,2009,7839,2627,2.98,
WINSTON HEIGHTS/MOUNTVIEW,WIN,1996,3767,1615,2.33,
MAYFAIR,MAF,2010,472,151,3.13,
COACH HILL,COA,2015,3301,1435,2.3,
ROSEDALE,RDL,1990,1613,660,2.44,
HIDDEN VALLEY,HID,2017,11708,3828,3.06,
MOUNT PLEASANT,MOP,1977,4941,2087,2.37,
PARKHILL,PKH,2013,1613,780,2.07,
COACH HILL,COA,1991,3097,1195,2.59,
BEL-AIRE,BEL,1978,494,137,3.61,
LAKEVIEW,LKV,2008,5413,2223,2.43,
UNIVERSITY OF CALGARY,UOC,1996,1911,705,2.71,
WOODLANDS,WOO,1992,6516,2146,3.04,
ROSEMONT,RMT,2006,1247,530,2.35,
UNIVERSITY DISTRICT,UND,2009,0,0,0,
SHAWNESSY,SHN,2016,9411,3235,2.91,
BRIDLEWOOD,BRI,2005,6892,2443,2.82,
CHRISTIE PARK,CHR,1988,25,10,2.5,
ALTADORE,ALT,2004,7534,3602,2.09,
GLAMORGAN,GLA,2015,6432,2893,2.22,
MACEWAN GLEN,MAC,2000,5658,1757,3.22,
WINDSOR PARK,WND,2012,4126,2305,1.79,
RAMSAY,RAM,1979,2291,961,2.38,
CLIFF BUNGALOW,CLI,1983,1817,1047,1.74,
MEADOWLARK PARK,MEA,1968,1231,298,4.13,
MAPLE RIDGE,MPL,2000,2180,805,2.71,
MONTGOMERY,MON,1997,3903,1555,2.51,
SHAGANAPPI,SHG,1972,1975,698,2.83,
ELBOW PARK,EPK,1972,3784,1172,3.23,
RENFREW,REN,2003,5706,2848,2,
ERLTON,ERL,2000,806,451,1.79,
ALTADORE,ALT,1980,7243,2668,2.71,
DISCOVERY RIDGE,DIS,1992,0,0,0,
DOUGLASDALE/GLEN,DDG,1998,9828,3257,3.02,
GLAMORGAN,GLA,1996,6260,2723,2.3,
DISCOVERY RIDGE,DIS,2011,4321,1605,2.69,
BANFF TRAIL,BNF,1981,3537,1501,2.36,
FAIRVIEW,FAI,2010,3526,1526,2.31,
OGDEN,OGD,1971,5138,1379,3.73,
SETON,SET,1987,0,0,0,
WOODLANDS,WOO,1973,67,3,22.33,
SANDSTONE VALLEY,SAN,1981,0,0,0,
SETON,SET,2010,0,0,0,
GARRISON GREEN,GAG,2011,1984,707,2.81,At this time community was referred to as CFB - LINCOLN PARK PMQ (CFL)
COACH HILL,COA,1986,2702,1032,2.62,
ELBOYA,EYA,2017,1783,715,2.49,
HIGHWOOD,HIW,2008,2155,919,2.34,
CRESCENT HEIGHTS,CRE,2016,6097,3267,1.87,
SADDLE RIDGE,SAD,1988,123,37,3.32,
SOUTHVIEW,SOV,1978,2687,843,3.19,
RUTLAND PARK,RUT,2001,2377,952,2.5,
CORAL SPRINGS,COR,1992,205,49,4.18,
PENBROOKE MEADOWS,PEN,1997,9428,2796,3.37,
WOODBINE,WBN,2001,10688,3333,3.21,
KILLARNEY/GLENGARRY,KIL,1974,6576,2399,2.74,
THORNCLIFFE,THO,2001,9265,3630,2.55,
WOODLANDS,WOO,2002,6845,2352,2.91,
WOODLANDS,WOO,2012,6201,2351,2.64,
AUBURN BAY,AUB,2003,0,0,0,
ASPEN WOODS,ASP,1990,0,0,0,
ASPEN WOODS,ASP,2001,146,50,2.92,
NORTH HAVEN UPPER,NHU,1975,0,0,0,
HAYSBORO,HAY,2006,5970,2827,2,
ST. ANDREWS HEIGHTS,STA,1981,2246,745,3.01,
BANFF TRAIL,BNF,2007,3738,1655,2.26,
WINSTON HEIGHTS/MOUNTVIEW,WIN,1972,4652,1506,3.09,
WHITEHORN,WHI,1981,7565,2249,3.36,
DISCOVERY RIDGE,DIS,1997,20,6,3.33,
MARLBOROUGH,MRL,1968,97,27,3.59,
WESTGATE,WGT,1989,3524,1326,2.66,
MAHOGANY,MAH,1976,0,0,0,
CHINOOK PARK,CHK,1988,1787,582,3.07,
ROSSCARROCK,RCK,1988,3411,1445,2.36,
DISCOVERY RIDGE,DIS,1974,0,0,0,
RENFREW,REN,1993,5425,2627,2.07,
DALHOUSIE,DAL,2008,8981,3601,2.49,
BANFF TRAIL,BNF,1987,3353,1549,2.16,
MONTGOMERY,MON,1996,3910,1568,2.49,
VALLEY RIDGE,VAL,1977,0,0,0,
CHARLESWOOD/COLLINGWOOD,,2013,5805,2374,2.45,Combined communities of CHARLESWOOD (CHW) and COLLINGWOOD (COL)
MILLRISE,MLR,1987,2113,674,3.14,
ABBEYDALE,ABB,1985,5947,1737,3.42,
HIGHLAND PARK,HPK,2012,3792,1933,1.96,
DOWNTOWN WEST END,DNW,1988,448,300,1.49,
DISCOVERY RIDGE,DIS,1993,0,0,0,
MEADOWLARK PARK,MEA,1971,1129,296,3.81,
LEGACY,LEG,1983,0,0,0,
CRESCENT HEIGHTS,CRE,2001,5758,3279,1.76,
CITADEL,CIT,1981,0,0,0,
EVANSTON,EVN,1995,20,6,3.33,
EVERGREEN,EVE,2005,8281,2961,2.8,
DOWNTOWN WEST END,DNW,1994,435,282,1.54,
SOMERSET,SOM,1974,0,0,0,
NORTH HAVEN UPPER,NHU,1980,866,243,3.56,
GREENWOOD/GREENBRIAR,GRE,1986,1036,457,2.27,
CRANSTON,CRA,1984,0,0,0,
ROCKY RIDGE,ROC,1974,0,0,0,
GLAMORGAN,GLA,2005,6361,2889,2.2,
WALDEN,WAL,2015,3076,980,3.14,
HAWKWOOD,HAW,2002,11011,3308,3.33,
SUNNYSIDE,SSD,1982,3949,2169,1.82,
HAMPTONS,HAM,1984,0,0,0,
POINT MCKAY,POI,1998,1369,829,1.65,
RIVERBEND,RIV,2005,10377,3436,3.02,
DALHOUSIE,DAL,1983,10373,3355,3.09,
DOVER,DOV,2000,11228,4063,2.76,
VARSITY,VAR,2003,12205,5125,2.38,
MARLBOROUGH,MRL,1977,9599,2563,3.75,
CITYSCAPE,CSC,2005,0,0,0,
RENFREW,REN,2010,5594,2860,1.96,
ROSSCARROCK,RCK,1982,3678,1458,2.52,
EAU CLAIRE,EAU,1971,835,322,2.59,
SUNALTA,SNA,1972,3066,1381,2.22,
CRESTMONT,CRM,2017,1540,478,3.22,
PENBROOKE MEADOWS,PEN,2003,8828,2830,3.12,
ACADIA,ACA,2004,10515,4736,2.22,
MCKENZIE TOWNE,MCT,1995,0,0,0,
SILVERADO,SVO,2009,2620,928,2.82,
BONAVISTA DOWNS,BDO,1971,0,0,0,
WESTGATE,WGT,1968,4243,974,4.36,
REDSTONE,RSN,1987,0,0,0,
ROSEDALE,RDL,1991,1575,651,2.42,
NEW BRIGHTON,NEB,1997,0,0,0,
TARADALE,TAR,1973,0,0,0,
TEMPLE,TEM,2005,10838,3443,3.15,
LINCOLN PARK,LPK,1990,785,351,2.24,
DOWNTOWN EAST VILLAGE,DNE,1990,1020,812,1.26,
HAWKWOOD,HAW,1985,2341,730,3.21,
ARBOUR LAKE,ARB,1981,0,0,0,
KINCORA,KCA,2001,0,0,0,
ROSEDALE,RDL,1969,1771,676,2.62,
BELTLINE,BLN,1968,14222,7181,1.98,Combined communities of CONNAUGHT (CON) and VICTORIA PARK (VIC)
SUNDANCE,SDC,1986,3020,919,3.29,
PANORAMA HILLS,PAN,2004,6873,2133,3.22,
RUNDLE,RUN,1985,11242,3328,3.38,
PALLISER,PAL,1991,3237,1441,2.25,
ACADIA,ACA,2001,11012,4862,2.26,
WALDEN,WAL,1995,0,0,0,
DOVER,DOV,1978,10528,2977,3.54,
CHRISTIE PARK,CHR,2006,2205,712,3.1,
GLENDALE,GDL,2004,2804,1089,2.57,
SOUTHWOOD,SOW,1974,6587,1696,3.88,
RUTLAND PARK,RUT,1970,1910,465,4.11,
DEER RIDGE,DRG,1970,0,0,0,
COVENTRY HILLS,COV,1972,0,0,0,
WEST SPRINGS,WSP,2006,5311,1827,2.91,
ALBERT PARK/RADISSON HEIGHTS,ALB,2008,6192,2536,2.44,
MOUNT PLEASANT,MOP,1972,5478,2090,2.62,
MAYLAND HEIGHTS,MAL,1994,5992,2429,2.47,
WHITEHORN,WHI,2013,12172,3683,3.3,
SCENIC ACRES,SCE,2011,8710,2873,3.03,
MEADOWLARK PARK,MEA,1999,645,286,2.26,
BANKVIEW,BNK,1970,5366,2169,2.47,
ROSSCARROCK,RCK,2003,3343,1479,2.26,
MOUNT PLEASANT,MOP,2007,4901,2322,2.11,
TUSCANY,TUS,2014,19465,6425,3.03,
SADDLE RIDGE,SAD,2006,6788,1960,3.46,
CASTLERIDGE,CAS,1982,3159,1046,3.02,
MAPLE RIDGE,MPL,1989,2425,803,3.02,
BRENTWOOD,BRE,2011,6049,2496,2.42,
GLAMORGAN,GLA,1979,5542,1726,3.21,
SOUTHVIEW,SOV,2002,2308,862,2.68,
CRANSTON,CRA,1969,0,0,0,
LINCOLN PARK,LPK,1980,34,4,8.5,
MCKENZIE TOWNE,MCT,2011,15395,5987,2.57,
EAU CLAIRE,EAU,1997,1082,634,1.71,
EAU CLAIRE,EAU,1986,876,532,1.65,
SUNNYSIDE,SSD,2004,3625,2221,1.63,
COVENTRY HILLS,COV,1986,0,0,0,
RANCHLANDS,RAN,2017,7629,2969,2.57,
HIDDEN VALLEY,HID,2000,9523,3185,2.99,
PARKHILL,PKH,2017,1690,818,2.07,
COVENTRY HILLS,COV,1994,1352,494,2.74,
REDSTONE,RSN,1989,0,0,0,
BOWNESS,BOW,1999,12062,4950,2.44,
BRIDLEWOOD,BRI,1988,14,5,2.8,
CRESTMONT,CRM,2012,1454,447,3.25,
EDGEMONT,EDG,1980,1546,456,3.39,
ROYAL OAK,ROY,1972,0,0,0,
NORTH HAVEN,NHV,1972,3100,760,4.08,
ST. ANDREWS HEIGHTS,STA,1993,2060,695,2.96,
ROCKY RIDGE,ROC,2009,6882,2651,2.6,
MAYLAND HEIGHTS,MAL,2015,6157,2677,2.3,
RIVERBEND,RIV,1970,78,23,3.39,
GLENBROOK,GBK,1971,5677,1525,3.72,
BRIDLEWOOD,BRI,1974,0,0,0,
CASTLERIDGE,CAS,1994,6455,1767,3.65,
WEST SPRINGS,WSP,2010,7204,2354,3.06,
CAPITOL HILL,CAP,1975,3905,1645,2.37,
MIDNAPORE,MID,1987,7624,2441,3.12,
COACH HILL,COA,1974,31,10,3.1,
BRIDGELAND/RIVERSIDE,BRD,1982,5213,2402,2.17,
SCARBORO,SCA,2003,927,336,2.76,
MANCHESTER,MAN,1980,196,73,2.68,
CITADEL,CIT,2010,10221,3426,2.98,
POINT MCKAY,POI,2017,1354,813,1.67,
SOUTHWOOD,SOW,2012,6085,2572,2.37,
WALDEN,WAL,2011,594,247,2.4,
VARSITY,VAR,1997,12578,5200,2.42,
ALTADORE,ALT,2012,9116,4140,2.2,
ERLTON,ERL,1991,494,249,1.98,
MEADOWLARK PARK,MEA,2010,636,261,2.44,
RENFREW,REN,1986,5610,2643,2.12,
INGLEWOOD,ING,2004,3254,1720,1.89,
BELTLINE,BLN,1984,14107,8935,1.58,Combined communities of CONNAUGHT (CON) and VICTORIA PARK (VIC)
TUSCANY,TUS,2005,12233,4544,2.69,
ROSEDALE,RDL,1993,1585,649,2.44,
MOUNT PLEASANT,MOP,1989,4299,2101,2.05,
WOODLANDS,WOO,1975,80,3,26.67,
TEMPLE,TEM,1980,5634,1756,3.21,
DOWNTOWN COMMERCIAL CORE,DNC,1976,6581,4389,1.5,
SPRUCE CLIFF,SPR,2003,2991,1321,2.26,
CHINOOK PARK,CHK,2006,1717,579,2.97,
NORTH HAVEN UPPER,NHU,1990,778,244,3.19,
BONAVISTA DOWNS,BDO,1968,0,0,0,
UNIVERSITY HEIGHTS,UNI,1983,2928,1182,2.48,
GREENWOOD/GREENBRIAR,GRE,2012,946,477,1.98,
PARKDALE,PKD,1997,1691,820,2.06,
SPRINGBANK HILL,SPH,1993,0,0,0,
TARADALE,TAR,1991,1464,442,3.31,
OGDEN,OGD,2001,10069,3814,2.64,
HIGHLAND PARK,HPK,1992,3771,1813,2.08,
MAYLAND HEIGHTS,MAL,2014,6357,2723,2.33,
UPPER MOUNT ROYAL,UMR,1988,2631,1025,2.57,
FOREST LAWN,FLN,2007,7872,3060,2.57,
RIDEAU PARK,RID,2001,635,314,2.02,
DISCOVERY RIDGE,DIS,1978,0,0,0,
CRESTMONT,CRM,1983,0,0,0,
BELTLINE,BLN,2016,21958,13468,1.63,
GLAMORGAN,GLA,2007,6289,2843,2.21,
HARVEST HILLS,HAR,2012,7402,2538,2.92,
LAKE BONAVISTA,LKB,2006,10381,3550,2.92,
DISCOVERY RIDGE,DIS,2012,4350,1606,2.71,
TUXEDO PARK,TUX,1980,4239,1922,2.21,
WILDWOOD,WLD,1993,2681,1040,2.58,
APPLEWOOD PARK,APP,1969,0,0,0,
HARVEST HILLS,HAR,1976,0,0,0,
PENBROOKE MEADOWS,PEN,1998,9511,2800,3.4,
ROSSCARROCK,RCK,1978,3405,1303,2.61,
MAHOGANY,MAH,1991,0,0,0,
PINERIDGE,PIN,1973,88,22,4,
LOWER MOUNT ROYAL,LMR,1969,3378,1659,2.04,
WOODLANDS,WOO,2003,6724,2298,2.93,
BEL-AIRE,BEL,1979,493,138,3.57,
BRENTWOOD,BRE,1998,6389,2513,2.54,
WILLOW PARK,WIL,1980,7237,2193,3.3,
RUTLAND PARK,RUT,1973,2736,729,3.75,
REDSTONE,RSN,1969,0,0,0,
SUNDANCE,SDC,1977,0,0,0,
GREENVIEW,GRV,2010,1990,1041,1.91,
EVANSTON,EVN,2015,12883,4057,3.18,
FOREST LAWN,FLN,1989,8171,2923,2.8,
MARTINDALE,MRT,2001,9268,2883,3.21,
MONTEREY PARK,MOR,1986,147,53,2.77,
HUNTINGTON HILLS,HUN,1988,15250,4970,3.07,
CITYSCAPE,CSC,1982,0,0,0,
WILLOW PARK,WIL,1971,6633,1579,4.2,
KINGSLAND,KIN,2011,4418,2250,1.96,
BRIDLEWOOD,BRI,1994,27,9,3,
ROCKY RIDGE,ROC,2002,3136,1178,2.66,
DEER RIDGE,DRG,2016,4110,1471,2.79,
KILLARNEY/GLENGARRY,KIL,2004,6368,3181,2,
MISSION,MIS,1987,3569,2369,1.51,
FOREST LAWN,FLN,2003,7912,2985,2.65,
MARTINDALE,MRT,1996,5427,1734,3.13,
HAWKWOOD,HAW,1979,0,0,0,
CITYSCAPE,CSC,2002,0,0,0,
WILDWOOD,WLD,1968,4294,1038,4.14,
HIDDEN VALLEY,HID,1998,7287,2454,2.97,
BEDDINGTON HEIGHTS,BED,1988,13080,4058,3.22,
CITADEL,CIT,1976,0,0,0,
BRITANNIA,BRT,2000,817,306,2.67,
HAYSBORO,HAY,1975,7479,2238,3,
SKYVIEW RANCH,SKR,1997,0,0,0,
BELTLINE,BLN,1969,14752,7447,1.98,Combined communities of CONNAUGHT (CON) and VICTORIA PARK (VIC)
SUNALTA,SNA,2000,3407,1928,1.77,
WINSTON HEIGHTS/MOUNTVIEW,WIN,1980,4143,1562,2.65,
CHARLESWOOD/COLLINGWOOD,,2011,5588,2318,2.41,Combined communities of CHARLESWOOD (CHW) and COLLINGWOOD (COL)
UNIVERSITY DISTRICT,UND,1992,0,0,0,
MONTGOMERY,MON,2009,3795,1550,2.45,
PINERIDGE,PIN,1980,9588,3114,3.08,
HIDDEN VALLEY,HID,1982,0,0,0,
NORTH GLENMORE PARK,NGM,2009,2413,973,2.48,
NEW BRIGHTON,NEB,1974,0,0,0,
SPRINGBANK HILL,SPH,1981,0,0,0,
SIGNAL HILL,SIG,2011,13795,5101,2.7,
DALHOUSIE,DAL,2001,9222,3607,2.56,
OAKRIDGE,OAK,2004,6251,2261,2.76,
UNIVERSITY HEIGHTS,UNI,1977,2425,765,3.17,
EAU CLAIRE,EAU,1980,479,306,1.57,
WINDSOR PARK,WND,1991,3513,2037,1.72,
VALLEY RIDGE,VAL,1995,732,252,2.9,
LAKEVIEW,LKV,1993,5832,2292,2.54,
DISCOVERY RIDGE,DIS,1986,0,0,0,
LAKE BONAVISTA,LKB,2011,10610,4001,2.65,
ALBERT PARK/RADISSON HEIGHTS,ALB,1983,5982,2019,2.96,
CITYSCAPE,CSC,1975,0,0,0,
EAGLE RIDGE,EAG,2013,435,93,4.68,
BRENTWOOD,BRE,2006,6255,2510,2.49,
BRIDLEWOOD,BRI,1976,0,0,0,
DEER RUN,DRN,1981,2946,926,3.18,
SCARBORO,SCA,1980,974,340,2.86,
WALDEN,WAL,1997,0,0,0,
TUSCANY,TUS,2000,4101,1521,2.7,
BELTLINE,BLN,2010,18902,12000,1.58,
SAGE HILL,SGH,1971,0,0,0,
NORTH GLENMORE PARK,NGM,2004,2385,951,2.51,
QUEENS PARK VILLAGE,QPK,2005,381,186,2.05,
TARADALE,TAR,1977,0,0,0,
NORTH GLENMORE PARK,NGM,2012,2386,967,2.47,
LEGACY,LEG,2010,12,5,2.4,
EVERGREEN,EVE,1986,33,15,2.2,
PARKLAND,PKL,2000,4188,1348,3.11,
MAHOGANY,MAH,1984,0,0,0,
LEGACY,LEG,1991,0,0,0,
LOWER MOUNT ROYAL,LMR,1975,3302,1892,1.75,
DOWNTOWN COMMERCIAL CORE,DNC,2005,7229,4334,1.67,
CORNERSTONE,CNS,2004,0,0,0,
TARADALE,TAR,1985,499,159,3.14,
SHERWOOD,SHW,1990,0,0,0,
PATTERSON,PAT,2015,4308,1962,2.2,
LINCOLN PARK,LPK,2003,1927,1080,1.78,
BRIDGELAND/RIVERSIDE,BRD,2010,5162,2582,2,
OAKRIDGE,OAK,1995,6794,2262,3,
GLAMORGAN,GLA,1989,6650,2774,2.4,
RICHMOND,RIC,1987,3717,1761,2.11,
RIDEAU PARK,RID,2016,616,308,2,
MAPLE RIDGE,MPL,1996,2218,805,2.76,
BONAVISTA DOWNS,BDO,2000,1089,367,2.97,
LOWER MOUNT ROYAL,LMR,1988,2923,1990,1.47,
MAHOGANY,MAH,2009,11,4,2.75,
UNIVERSITY OF CALGARY,UOC,2016,2248,9,249.78,Community boundaries were changed to create UNIVERSITY DISTRICT (UND)
CHAPARRAL,CHA,1992,0,0,0,
VARSITY,VAR,1994,12436,5117,2.43,
COACH HILL,COA,2001,3317,1409,2.35,
SPRINGBANK HILL,SPH,2000,1481,502,2.95,
REDSTONE,RSN,1973,0,0,0,
CHARLESWOOD/COLLINGWOOD,,1992,6167,2403,2.57,Combined communities of CHARLESWOOD (CHW) and COLLINGWOOD (COL)
ROXBORO,ROX,1999,429,164,2.62,
MARLBOROUGH PARK,MPK,2008,8536,2906,2.94,
HIGHLAND PARK,HPK,2008,3704,1894,1.96,
ELBOYA,EYA,1988,1598,699,2.29,
ROSEDALE,RDL,1985,1555,656,2.37,
MCKENZIE TOWNE,MCT,1996,46,20,2.3,
RUNDLE,RUN,2005,11130,3535,3.15,
COUGAR RIDGE,CGR,1976,0,0,0,
MARTINDALE,MRT,1986,508,166,3.06,
REDSTONE,RSN,1982,0,0,0,
SILVERADO,SVO,1990,15,5,3,
MARLBOROUGH PARK,MPK,1988,9379,2738,3.43,
TEMPLE,TEM,2017,11162,3503,3.19,
KINCORA,KCA,1972,0,0,0,
PANORAMA HILLS,PAN,1980,0,0,0,
DOUGLASDALE/GLEN,DDG,2015,12714,4478,2.84,
RUNDLE,RUN,1984,10794,3152,3.42,
SILVER SPRINGS,SIL,1974,1731,564,3.07,
BRENTWOOD,BRE,2004,6254,2470,2.53,
NORTH GLENMORE PARK,NGM,1978,3220,938,3.43,
MONTEREY PARK,MOR,1995,6029,1749,3.45,
COUGAR RIDGE,CGR,1985,0,0,0,
WINSTON HEIGHTS/MOUNTVIEW,WIN,1976,4170,1517,2.75,
POINT MCKAY,POI,1969,0,0,0,
BRIDGELAND/RIVERSIDE,BRD,2015,6010,2940,2.04,
DEER RIDGE,DRG,2013,4191,1483,2.83,
DIAMOND COVE,DIA,1979,0,0,0,
RIDEAU PARK,RID,2011,627,310,2.02,
ALTADORE,ALT,1982,7354,2791,2.63,
PATTERSON,PAT,1987,608,275,2.21,
CRANSTON,CRA,2003,1911,694,2.75,
TARADALE,TAR,2002,3848,1201,3.2,
SAGE HILL,SGH,1996,70,22,3.18,
APPLEWOOD PARK,APP,2015,6863,2143,3.2,
NOLAN HILL,NOL,1987,0,0,0,
WILDWOOD,WLD,2017,2629,1029,2.55,
PINERIDGE,PIN,1972,90,22,4.09,
SUNDANCE,SDC,2015,10216,3368,3.03,
DOVER,DOV,1995,11340,3873,2.93,
COVENTRY HILLS,COV,1993,889,318,2.8,
BRAESIDE,BRA,1978,5567,1669,3.34,
CHRISTIE PARK,CHR,1991,993,302,3.29,
GLAMORGAN,GLA,1972,5819,1543,3.77,
HARVEST HILLS,HAR,1984,0,0,0,
GARRISON WOODS,GAW,2000,0,0,0,
BEDDINGTON HEIGHTS,BED,1997,13064,4147,3.15,
ACADIA,ACA,1998,11171,4752,2.35,
BRAESIDE,BRA,1999,6648,2509,2.65,
EDGEMONT,EDG,1972,0,0,0,
SETON,SET,2011,0,0,0,
CHAPARRAL,CHA,2008,9651,2978,3.24,
ST. ANDREWS HEIGHTS,STA,1976,2191,623,3.52,
PARKLAND,PKL,2005,4028,1420,2.84,
GLENBROOK,GBK,1984,7330,2755,2.66,
DIAMOND COVE,DIA,1994,667,209,3.19,
HIDDEN VALLEY,HID,1974,0,0,0,
THORNCLIFFE,THO,2003,9039,3624,2.49,
TARADALE,TAR,1968,0,0,0,
EAGLE RIDGE,EAG,2004,384,104,3.69,
BEDDINGTON HEIGHTS,BED,2006,11926,4183,2.85,
ABBEYDALE,ABB,2015,6167,2009,3.07,
PANORAMA HILLS,PAN,2012,22247,6949,3.2,
BRIDLEWOOD,BRI,1981,0,0,0,
SCARBORO,SCA,1994,879,336,2.62,
COVENTRY HILLS,COV,2004,9719,3380,2.88,
BRIDGELAND/RIVERSIDE,BRD,2002,4837,2298,2.1,
RUNDLE,RUN,2010,11180,3626,3.08,
HOUNSFIELD HEIGHTS/BRIAR HILL,HOU,1981,2915,925,3.15,
MILLRISE,MLR,2008,6383,2247,2.84,
CORNERSTONE,CNS,2008,0,0,0,
BONAVISTA DOWNS,BDO,1994,1108,367,3.02,
SHAWNESSY,SHN,1996,7830,2448,3.2,
SHERWOOD,SHW,1989,0,0,0,
WINDSOR PARK,WND,1978,2960,1440,2.06,
FALCONRIDGE,FAL,2005,10151,3192,3.18,
ARBOUR LAKE,ARB,1986,0,0,0,
ACADIA,ACA,1996,10948,4680,2.34,
SADDLE RIDGE,SAD,1973,276,68,4.06,
BRENTWOOD,BRE,2002,6430,2501,2.57,
ABBEYDALE,ABB,2016,5912,1969,3,
SAGE HILL,SGH,1999,84,25,3.36,
SPRINGBANK HILL,SPH,1995,0,0,0,
ARBOUR LAKE,ARB,2012,10836,3855,2.81,
SHAGANAPPI,SHG,2000,1729,802,2.16,
COUNTRY HILLS VILLAGE,CHV,2016,2689,1304,2.06,
TEMPLE,TEM,1981,8263,2519,3.28,
AUBURN BAY,AUB,1993,0,0,0,
LINCOLN PARK,LPK,2017,2441,977,2.5,
PINERIDGE,PIN,2012,9644,3595,2.68,
CHAPARRAL,CHA,1974,0,0,0,
WILDWOOD,WLD,1972,4044,1041,3.88,
LEGACY,LEG,1989,0,0,0,
CORNERSTONE,CNS,1997,0,0,0,
OAKRIDGE,OAK,1981,7135,2092,3.41,
SHERWOOD,SHW,1977,0,0,0,
MCKENZIE LAKE,MCK,1992,4502,1302,3.46,
NORTH HAVEN UPPER,NHU,1982,861,243,3.54,
